timestamp,latitude,longitude,altitude,speed
1728201797.300000,46.9291322,7.1190265,,0.07
1728201797.400000,46.9291322,7.1190267,,0.02
1728201797.500000,46.9291321,7.1190268,,0.027
1728201797.600000,46.929132,7.1190269,,0.014
1728201797.700000,46.9291318,7.119027,,0.01
1728201797.800000,46.9291316,7.1190272,,0.034
1728201797.900000,46.9291313,7.1190275,,0.065
1728201798.000000,46.9291313,7.1190277,,0.048
1728201798.100000,46.9291311,7.1190277,,0.047
1728201798.200000,46.929131,7.119028,506.178,0.043
1728201798.300000,46.9291309,7.119028,,0.034
1728201798.400000,46.9291307,7.1190281,,0.015
1728201798.500000,46.9291306,7.119028,,0.01
1728201798.600000,46.9291305,7.119028,,0.007
1728201798.700000,46.9291305,7.1190279,,0.045
1728201798.800000,46.9291303,7.1190279,,0.022
1728201798.900000,46.9291302,7.1190278,,0.012
1728201799.000000,46.9291303,7.1190276,,0.037
1728201799.100000,46.9291302,7.1190276,,0.003
1728201799.200000,46.9291302,7.1190274,505.996,0.048
1728201799.300000,46.9291301,7.1190275,,0.07
1728201799.400000,46.92913,7.1190273,,0.046
1728201799.500000,46.92913,7.1190271,,0.028
1728201799.600000,46.92913,7.119027,,0.019
1728201799.700000,46.92913,7.1190269,,0.017
1728201799.800000,46.9291299,7.1190269,,0.013
1728201799.900000,46.92913,7.1190268,,0.05
1728201800.000000,46.9291299,7.1190266,,0.038
1728201800.100000,46.9291299,7.1190266,,0.025
1728201800.200000,46.9291296,7.1190265,506.283,0.067
1728201800.300000,46.9291297,7.1190265,,0.031
1728201800.400000,46.9291296,7.1190264,,0.009
1728201800.500000,46.9291294,7.1190264,,0.059
1728201800.600000,46.9291292,7.1190265,,0.035
1728201800.700000,46.9291292,7.1190267,,0.026
1728201800.800000,46.929129,7.1190267,,0.025
1728201800.900000,46.9291289,7.1190269,,0.013
1728201801.000000,46.9291288,7.119027,,0.037
1728201801.100000,46.9291286,7.119027,,0.018
1728201801.200000,46.9291285,7.1190271,506.536,0.011
1728201801.300000,46.9291283,7.1190273,,0.036
1728201801.400000,46.9291281,7.1190274,,0.051
1728201801.500000,46.929128,7.1190275,,0.024
1728201801.600000,46.9291278,7.1190278,,0.018
1728201801.700000,46.9291276,7.1190279,,0.063
1728201801.800000,46.9291275,7.119028,,0.041
1728201801.900000,46.9291273,7.1190282,,0.028
1728201802.000000,46.9291271,7.1190283,,0.031
1728201802.100000,46.929127,7.1190286,,0.017
1728201802.200000,46.9291268,7.1190288,506.519,0.037
1728201802.300000,46.9291266,7.1190289,,0.018
1728201802.400000,46.9291264,7.1190291,,0.025
1728201802.500000,46.9291263,7.1190294,,0.016
1728201802.600000,46.9291262,7.1190293,,0.065
1728201802.700000,46.9291261,7.1190295,,0.043
1728201802.800000,46.929126,7.1190296,,0.052
1728201802.900000,46.9291258,7.1190298,,0.024
1728201803.000000,46.9291257,7.11903,,0.009
1728201803.100000,46.9291256,7.11903,,0.037
1728201803.200000,46.9291254,7.1190302,506.32,0.035
1728201803.300000,46.9291253,7.1190304,,0.02
1728201803.400000,46.9291252,7.1190305,,0.024
1728201803.500000,46.9291252,7.1190306,,0.056
1728201803.600000,46.929125,7.1190306,,0.051
1728201803.700000,46.9291251,7.1190308,,0.065
1728201803.800000,46.9291249,7.1190312,,0.066
1728201803.900000,46.9291248,7.1190312,,0.004
1728201804.000000,46.9291245,7.1190315,,0.06
1728201804.100000,46.9291247,7.1190315,,0.069
1728201804.200000,46.9291244,7.1190318,506.135,0.04
1728201804.300000,46.9291245,7.1190319,,0.034
1728201804.400000,46.9291242,7.1190322,,0.047
1728201804.500000,46.9291241,7.1190321,,0.058
1728201804.600000,46.9291241,7.1190323,,0.034
1728201804.700000,46.9291239,7.1190326,,0.001
1728201804.800000,46.9291238,7.1190327,,0.031
1728201804.900000,46.9291237,7.1190329,,0.021
