timestamp,latitude,longitude,altitude,speed
1728201795.100000,46.9025395,7.1110034,538.223,2.429
1728201795.200000,46.9025422,7.1110048,538.223,2.094
1728201795.300000,46.9025365,7.1110061,538.223,2.426
1728201795.400000,46.9025382,7.1110079,538.223,2.472
1728201795.500000,46.9025403,7.1110085,538.223,2.235
1728201795.600000,46.9025427,7.1110067,538.223,1.972
1728201795.700000,46.9025419,7.1110058,538.223,2.29
1728201795.800000,46.9025457,7.1110037,538.223,2.131
1728201795.900000,46.9025501,7.1110003,538.223,1.817
1728201796.000000,46.9025529,7.1109966,538.223,2.083
1728201796.100000,46.9025549,7.1109945,538.503,1.972
1728201796.200000,46.9025537,7.110996,538.503,1.747
1728201796.300000,46.9025508,7.1109999,538.503,1.656
1728201796.400000,46.902546,7.1110043,538.503,1.937
1728201796.500000,46.9025456,7.1110046,538.503,1.854
1728201796.600000,46.9025451,7.1110052,538.503,1.629
1728201796.700000,46.902541,7.1110085,538.503,1.994
1728201796.800000,46.9025373,7.1110114,538.503,2.161
1728201796.900000,46.9025376,7.1110138,538.503,1.971
1728201797.000000,46.9025374,7.1110156,538.503,1.905
1728201797.100000,46.9025342,7.1110178,539.687,2.236
1728201797.200000,46.9025319,7.1110195,539.687,2.231
1728201797.300000,46.9025331,7.1110202,539.687,2.037
1728201797.400000,46.9025304,7.111022,539.687,2.257
1728201797.500000,46.9025267,7.1110245,539.687,2.404
1728201797.600000,46.9025267,7.111026,539.687,2.201
1728201797.700000,46.9025264,7.1110274,539.687,2.129
1728201797.800000,46.9025249,7.1110285,539.687,2.276
1728201797.900000,46.9025236,7.1110296,539.687,2.244
1728201798.000000,46.9025212,7.1110318,539.687,2.224
1728201798.100000,46.9025175,7.1110335,540.617,2.424
1728201798.200000,46.9025189,7.1110342,540.617,2.201
1728201798.300000,46.9025158,7.1110359,540.617,2.31
1728201798.400000,46.9025163,7.1110368,540.617,2.233
1728201798.500000,46.9025136,7.1110386,540.617,2.453
1728201798.600000,46.9025126,7.1110399,540.617,2.333
1728201798.700000,46.9025086,7.1110419,540.617,2.461
1728201798.800000,46.9025074,7.1110444,540.617,2.499
1728201798.900000,46.9025045,7.1110481,540.617,2.573
1728201799.000000,46.9025023,7.1110504,540.617,2.535
1728201799.100000,46.9024993,7.1110522,541.512,2.659
1728201799.200000,46.9024979,7.1110534,541.512,2.666
1728201799.300000,46.9024979,7.1110543,541.512,2.471
1728201799.400000,46.9024955,7.111056,541.512,2.567
1728201799.500000,46.9024937,7.1110577,541.512,2.575
1728201799.600000,46.902492,7.11106,541.512,2.533
1728201799.700000,46.9024908,7.1110611,541.512,2.448
1728201799.800000,46.9024866,7.1110638,541.512,2.745
1728201799.900000,46.9024843,7.1110662,541.512,2.84
1728201800.000000,46.902486,7.1110682,541.512,2.61
1728201800.100000,46.9024832,7.1110707,542.593,2.809
1728201800.200000,46.9024826,7.1110741,542.593,2.786
1728201800.300000,46.9024808,7.1110754,542.593,2.694
1728201800.400000,46.9024792,7.1110757,542.593,2.625
1728201800.500000,46.9024764,7.1110757,542.593,2.703
1728201800.600000,46.9024751,7.1110755,542.593,2.615
1728201800.700000,46.9024748,7.1110734,542.593,2.325
1728201800.800000,46.9024708,7.1110736,542.593,2.57
1728201800.900000,46.9024719,7.111074,542.593,2.318
1728201801.000000,46.9024691,7.1110751,542.593,2.363
1728201801.100000,46.9024678,7.1110748,543.94,2.232
1728201801.200000,46.9024654,7.1110743,543.94,2.29
1728201801.300000,46.9024627,7.1110755,543.94,2.372
1728201801.400000,46.9024606,7.1110761,543.94,2.298
1728201801.500000,46.9024578,7.1110774,543.94,2.376
1728201801.600000,46.9024564,7.1110791,543.94,2.351
1728201801.700000,46.9024562,7.1110806,543.94,2.234
1728201801.800000,46.9024551,7.1110822,543.94,2.226
1728201801.900000,46.9024548,7.1110833,543.94,2.211
1728201802.000000,46.902452,7.1110851,543.94,2.433
1728201802.100000,46.9024511,7.1110866,544.97,2.366
1728201802.200000,46.9024498,7.1110893,544.97,2.442
1728201802.300000,46.9024466,7.1110913,544.97,2.538
1728201802.400000,46.9024469,7.1110926,544.97,2.373
1728201802.500000,46.9024452,7.1110937,544.97,2.378
1728201802.600000,46.9024448,7.1110953,544.97,2.398
1728201802.700000,46.9024411,7.1110955,544.97,2.494
1728201802.800000,46.9024391,7.1110976,544.97,2.494
1728201802.900000,46.9024367,7.1110997,544.97,2.577
1728201803.000000,46.9024329,7.1110981,544.97,2.602
1728201803.100000,46.9024309,7.1110984,545.559,2.567
1728201803.200000,46.9024276,7.1111006,545.559,2.728
1728201803.300000,46.9024264,7.1111018,545.559,2.733
1728201803.400000,46.9024264,7.1111005,545.559,2.593
1728201803.500000,46.9024221,7.1111024,545.559,2.792
1728201803.600000,46.9024201,7.111105,545.559,2.765
1728201803.700000,46.9024171,7.1111078,545.559,2.764
1728201803.800000,46.9024146,7.11111,545.559,2.747
1728201803.900000,46.9024144,7.1111124,545.559,2.682
1728201804.000000,46.9024115,7.1111131,545.559,2.71
1728201804.100000,46.902408,7.1111128,545.972,2.656
1728201804.200000,46.9024048,7.1111157,545.972,2.731
1728201804.300000,46.9024025,7.1111172,545.972,2.675
1728201804.400000,46.902399,7.1111168,545.972,2.603
1728201804.500000,46.9023986,7.1111165,545.972,2.396
1728201804.600000,46.9023938,7.1111176,545.972,2.562
1728201804.700000,46.9023895,7.1111198,545.972,2.72
1728201804.800000,46.9023876,7.1111207,545.972,2.575
1728201804.900000,46.9023833,7.1111214,545.972,2.709
1728201805.000000,46.9023793,7.1111231,545.972,2.845
1728201805.100000,46.9023778,7.1111231,547.497,2.658
1728201805.200000,46.9023729,7.1111226,547.497,2.683
1728201805.300000,46.9023686,7.1111239,547.497,2.768
1728201805.400000,46.9023657,7.111124,547.497,2.789
1728201805.500000,46.9023641,7.1111242,547.497,2.68
1728201805.600000,46.9023599,7.1111259,547.497,2.773
1728201805.700000,46.9023565,7.1111271,547.497,2.825
1728201805.800000,46.9023554,7.1111274,547.497,2.665
1728201805.900000,46.9023513,7.1111294,547.497,2.735
1728201806.000000,46.9023477,7.1111336,547.497,2.865
1728201806.100000,46.9023428,7.1111376,548.814,3.047
1728201806.200000,46.9023419,7.1111391,548.814,2.983
1728201806.300000,46.902338,7.1111403,548.814,3.098
1728201806.400000,46.902335,7.111141,548.814,2.991
1728201806.500000,46.9023323,7.1111422,548.814,2.896
1728201806.600000,46.9023277,7.1111422,548.814,2.837
1728201806.700000,46.9023221,7.1111429,548.814,2.978
1728201806.800000,46.9023191,7.1111421,548.814,2.862
1728201806.900000,46.9023155,7.1111429,548.814,2.781
1728201807.000000,46.9023096,7.1111438,548.814,2.987
1728201807.100000,46.9023058,7.111145,549.949,3.007
1728201807.200000,46.9023018,7.1111451,549.949,2.903
1728201807.300000,46.902297,7.1111465,549.949,2.975
1728201807.400000,46.9022931,7.1111473,549.949,3.107
1728201807.500000,46.9022913,7.1111495,549.949,3.11
1728201807.600000,46.9022889,7.11115,549.949,3.073
1728201807.700000,46.9022843,7.1111547,549.949,3.345
1728201807.800000,46.9022872,7.1111525,549.949,2.86
1728201807.900000,46.9022856,7.1111542,549.949,2.941
1728201808.000000,46.9022828,7.111155,549.949,2.97
1728201808.100000,46.9022814,7.1111557,550.669,2.995
1728201808.200000,46.9022804,7.1111567,550.669,2.987
1728201808.300000,46.9022788,7.111158,550.669,2.997
1728201808.400000,46.9022765,7.1111594,550.669,3.057
1728201808.500000,46.9022746,7.1111603,550.669,3.017
1728201808.600000,46.9022749,7.1111607,550.669,2.8
1728201808.700000,46.9022731,7.1111605,550.669,2.733
1728201808.800000,46.9022711,7.111162,550.669,2.783
1728201808.900000,46.9022685,7.1111624,550.669,2.708
1728201809.000000,46.9022651,7.1111638,550.669,2.766
1728201809.100000,46.902262,7.1111654,551.816,2.816
1728201809.200000,46.9022573,7.1111667,551.816,2.873
1728201809.300000,46.9022563,7.1111687,551.816,2.87
1728201809.400000,46.9022549,7.11117,551.816,2.936
1728201809.500000,46.902253,7.1111712,551.816,3.039
1728201809.600000,46.9022522,7.1111714,551.816,2.846
1728201809.700000,46.9022496,7.1111727,551.816,2.881
1728201809.800000,46.9022458,7.1111746,551.816,2.991
1728201809.900000,46.9022433,7.1111744,551.816,2.828
1728201810.000000,46.9022389,7.1111756,551.816,2.908
1728201810.100000,46.9022379,7.111174,552.57,2.764
1728201810.200000,46.902237,7.1111727,552.57,2.621
1728201810.300000,46.902233,7.1111737,552.57,2.663
1728201810.400000,46.9022312,7.1111772,552.57,2.681
1728201810.500000,46.9022294,7.1111782,552.57,2.717
1728201810.600000,46.9022269,7.1111787,552.57,2.752
1728201810.700000,46.9022257,7.1111796,552.57,2.688
1728201810.800000,46.902222,7.1111813,552.57,2.787
1728201810.900000,46.9022158,7.1111832,552.57,3.03
1728201811.000000,46.9022145,7.1111837,552.57,2.939
1728201811.100000,46.9022146,7.1111858,553.198,2.873
1728201811.200000,46.9022133,7.1111868,553.198,2.806
1728201811.300000,46.9022119,7.1111878,553.198,2.835
1728201811.400000,46.9022121,7.1111894,553.198,2.811
1728201811.500000,46.9022104,7.1111906,553.198,2.763
1728201811.600000,46.9022066,7.1111908,553.198,2.751
1728201811.700000,46.9022046,7.111191,553.198,2.719
1728201811.800000,46.902201,7.1111932,553.198,2.913
1728201811.900000,46.9021957,7.1111954,553.198,3.208
1728201812.000000,46.9021905,7.1111957,553.198,3.359
1728201812.100000,46.9021882,7.1111943,553.277,3.293
1728201812.200000,46.9021844,7.1111962,553.277,3.241
1728201812.300000,46.9021795,7.1111972,553.277,3.246
1728201812.400000,46.9021749,7.1111973,553.277,3.282
1728201812.500000,46.9021743,7.111199,553.277,3.16
1728201812.600000,46.902173,7.1111995,553.277,3.103
1728201812.700000,46.902169,7.1112003,553.277,3.241
1728201812.800000,46.9021707,7.1112022,553.277,2.995
1728201812.900000,46.9021694,7.1112039,553.277,3.073
