timestamp,latitude,longitude,altitude,speed
1728201795.100000,46.9025395,7.1110034,,2.429
1728201795.200000,46.9025422,7.1110048,,2.094
1728201795.300000,46.9025365,7.1110061,,2.426
1728201795.400000,46.9025382,7.1110079,,2.472
1728201795.500000,46.9025403,7.1110085,,2.235
1728201795.600000,46.9025427,7.1110067,,1.972
1728201795.700000,46.9025419,7.1110058,,2.29
1728201795.800000,46.9025457,7.1110037,,2.131
1728201795.900000,46.9025501,7.1110003,,1.817
1728201796.000000,46.9025529,7.1109966,538.223,2.083
1728201796.100000,46.9025549,7.1109945,,1.972
1728201796.200000,46.9025537,7.110996,,1.747
1728201796.300000,46.9025508,7.1109999,,1.656
1728201796.400000,46.902546,7.1110043,,1.937
1728201796.500000,46.9025456,7.1110046,,1.854
1728201796.600000,46.9025451,7.1110052,,1.629
1728201796.700000,46.902541,7.1110085,,1.994
1728201796.800000,46.9025373,7.1110114,,2.161
1728201796.900000,46.9025376,7.1110138,,1.971
1728201797.000000,46.9025374,7.1110156,538.503,1.905
1728201797.100000,46.9025342,7.1110178,,2.236
1728201797.200000,46.9025319,7.1110195,,2.231
1728201797.300000,46.9025331,7.1110202,,2.037
1728201797.400000,46.9025304,7.111022,,2.257
1728201797.500000,46.9025267,7.1110245,,2.404
1728201797.600000,46.9025267,7.111026,,2.201
1728201797.700000,46.9025264,7.1110274,,2.129
1728201797.800000,46.9025249,7.1110285,,2.276
1728201797.900000,46.9025236,7.1110296,,2.244
1728201798.000000,46.9025212,7.1110318,539.687,2.224
1728201798.100000,46.9025175,7.1110335,,2.424
1728201798.200000,46.9025189,7.1110342,,2.201
1728201798.300000,46.9025158,7.1110359,,2.31
1728201798.400000,46.9025163,7.1110368,,2.233
1728201798.500000,46.9025136,7.1110386,,2.453
1728201798.600000,46.9025126,7.1110399,,2.333
1728201798.700000,46.9025086,7.1110419,,2.461
1728201798.800000,46.9025074,7.1110444,,2.499
1728201798.900000,46.9025045,7.1110481,,2.573
1728201799.000000,46.9025023,7.1110504,540.617,2.535
1728201799.100000,46.9024993,7.1110522,,2.659
1728201799.200000,46.9024979,7.1110534,,2.666
1728201799.300000,46.9024979,7.1110543,,2.471
1728201799.400000,46.9024955,7.111056,,2.567
1728201799.500000,46.9024937,7.1110577,,2.575
